Prompt,Dataset,Audio file,Caption,Entailment,Neutral,Contradiction,Full response
,ClothoV2,Distorted AM Radio noise.wav,"['A muddled noise of broken channel of the TV', 'A television blares the rhythm of a static TV.', 'Loud television static dips in and out of focus', 'The loud buzz of static constantly changes pitch and volume.', 'heavy static and the beginnings of a signal on a transistor radio']",The sound of static from an electronic device with varying pitch and volume.,"A television or radio is tuned to a channel with poor reception, occasionally trying to stabilize the signal.",A clear and stable broadcast is playing from a television or radio.,
,ClothoV2,Paper_Parchment_Rustling.wav,"['A person is turning a map over and over.', 'A person is very carefully rapping a gift for someone else.', 'A person is very carefully wrapping a gift for someone else.', 'He sighed as he turned the pages of the book, stopping to scan the information.', 'papers are being turned, stopped, then turned again and someone is breathing.']",A person is interacting with paper materials while breathing is audible.,"Someone is preparing a surprise by handling paper, possibly gift-wrapping.",A group of people are clapping and cheering in a crowded room.,
,ClothoV2,03 Whales Slowing Down.wav,"['Several barnyard animals mooing in a barn while it rains outside.', 'The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.', 'Underwater, large numbers of shrimp clicking and several whales vocalizing.', 'Whales sing to one another over the flowing water in the distance.', 'wales sing to one another with water flowing in the background']",There is the sound of whales vocalizing and shrimp clicking underwater.,"A group of marine creatures, including whales and shrimp, are interacting in their underwater habitat.",Farm animals are making noises in a barn while it is raining.,
,ClothoV2,Rope tied to boat in port.wav,"['An office chair is squeaking as someone bends back and forth in it.', 'Popping and squeaking gradually tapers off to a low level.', 'Someone is opening a creaky door slowly while a dog barks in the background', 'Squeaking and popping followed by gradual popping and tapering off.', 'an office chair is squeaking as someone leans forward and backward in it']","There are intermittent squeaking sounds, resembling an office chair movement, accompanied by occasional popping noises.","A person is adjusting their position in an office chair, causing it to squeak, while a dog is occasionally barking nearby.",Continuous loud music is playing in a busy office environment.,
,ClothoV2,carpenter bee.wav,"['A flying bee is buzzing loudly around an object and its wing hits it.', 'An annoying fly is buzzing loudly and consistently.', 'An insect buzzing in the foreground as birds chirp in the background.', 'An insect trapped in a spider web struggles, breaks free and flies away.', 'Outdoors, insect trapped in a spider web and then breaks loose and flies away.']",Insect activity is present with buzzing sounds and occasional bird chirps outdoors.,A bee or a fly is caught in a web outside and manages to escape while birds are singing in the distance.,The sound involves a quiet indoor environment with no noticeable insect or bird activity.,
,ClothoV2,violin1.wav,"['A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.', 'A low stringed instrument drones a steady tone and is eventually joined by violins.', 'A large stringed instrument and a pair of violins are playing.', 'A musical instrument creates a tune and is followed by other instruments.', 'An orchestra practicing for an upcoming concert in an enclosed room.']",A stringed instrument is playing a single note which is later accompanied by violins.,A cello is setting a baseline for a classical ensemble in a rehearsal space.,A rock band is performing a loud electric guitar solo in a concert hall.,
,ClothoV2,121006_rain&amp;storm.wav,"['As thunder claps far in the distance, the rain pours down.', 'Rain pours down and thunder claps far in the distance.', 'Substantial rain and wind are pouring and spouting around and thunder is available.', 'The rain falls down the thunder is rumbling as someone is pounding and a car passes.', 'The rain falls down while someone is pounding, a car passes by and the thunder is rumbling']","There is a rainstorm with distant thunder, and incidental sounds of a car passing and pounding.","A heavy rainstorm is taking place with thunder, wind, and the rhythmic noise of construction work as vehicles move nearby.",A calm day with the gentle sound of a stream flowing and birds chirping.,
,ClothoV2,draaiorgel2.wav,"['Something goes round that is playing its song.', 'At the fair, music is playing near a carousel through the speaker.', 'Chiming of bells, whistles and horns at a performance.', 'Fair kind music is being played at the circus grounds.', 'Polka or fair kind of music is being played.']","Music typical of a fairground is being played, likely from a carousel or similar attraction.",A live band is performing a polka tune at a fairground.,Complete silence pervades a library setting.,
,ClothoV2,Officejet Printer.wav,"['A paper printer is printing off multiple pages.', 'A printer printing off multiple pages of paper', 'A small printing device performing duties and printing pages of text.', 'A tiny printer performs its duties and prints the words.', 'An automatic cutter feeds paper and cuts it.']","A printer is in operation, producing printed pages.",A desktop printer is processing and printing a document.,A large industrial machine is fabricating metal parts.,
,ClothoV2,Stockholm subway C20 train departing.wav,"['A buzzer warns of departure, a air brake is released, while a roller coaster ride takes off.', 'A horn beeps for an amusement park ride, air brakes release and the ride takes off.', 'A warning button sounds, then a vehicle goes at a high speed.', 'After a horn beeps for an amusement park ride, the air brakes release and the ride begins.', 'First comes a beeping sound, then a door closing, then the train starts to speed up.']","An amusement park ride begins with a warning sound, followed by the release of air brakes and acceleration.","A roller coaster starts its journey with a beep, followed by doors closing and the train speeding up.",A quiet library room with the sound of pages turning and soft footsteps.,
,ClothoV2,metalTunnel.wav,"['A very robotic synth modulates and reverberates within itself', 'An interesting instrument whose sound is going up and down.', 'The synth is reverberated at an rhythmic meter', 'it is like a iron rod cutting sound and it is a workshop', 'it is like an iron rod cutting sound and it is a workshop']","A synthetic sound with a reverberating, metallic timbre is present, possibly produced by an electronic instrument.","The sound could be from a workshop with machinery creating a rhythmical, reverberating metallic noise.",Acoustic instruments are playing a melody in a concert hall.,
,ClothoV2,Ambience Night crickets.wav,"['A serene bit of nightfall is met by crickets chirping', 'Crickets chirp in the background as a soft wind blows.', 'Crickets chirping outdoors at night with a gentle breeze blowing.', 'In the calmness of nightfall, crickets are chirping.', 'While the wind softly blows, crickets chirp in the background.']",Crickets are chirping at night with the presence of wind.,A nocturnal outdoor scene with crickets chirping and leaves rustling in the breeze.,An indoor setting with complete silence.,
,ClothoV2,Maria Hernandez Park September 1st.wav,"['A skateboarder is coasting on his board on a back and forth ramp as voices talk in the background.', 'A skateboarder rides his board up and down a ramp as people speak in the background.', 'People skateboard with some children who are faintly speaking.', 'Boards with small wheels are being ridden while children are quietly speaking.', 'People skateboard around at the park while chatting and laughing.']",Individuals are skateboarding in a space with occasional sounds of children speaking.,Skateboarders are performing tricks at a skatepark with onlookers cheering and conversing.,Participants are silently ice skating in an indoor rink.,
,ClothoV2,Traffic Light.wav,"['A group of people is standing on the street near a busy freeway.', 'A group of people standing on the street near a busy freeway.', 'A detector device is operating and detecting nothing and then it registers some activity.', 'An electric machine is operating and detecting nothing and then it suddenly detects some activity.', 'Unidentified squeaking occurs several times while men talk in the background.']",There is a group of people near a busy road with intermittent electronic beeping and background conversations.,Pedestrians are waiting at a traffic light as a vehicle detection system activates and background chatter is heard.,A quiet room where a group of people are silently observing a static electronic device.,
,ClothoV2,jettish.wav,"['A sweeping swaying sound rising upward repeatedly, then going downward repeatedly.', 'A sweeping swishing sound becomes louder and fades repeatedly.', 'Heavily distorted siren sounds make them sound like spacecraft.', 'They sound like a spacecraft when their siren sounds are highly distorted.', 'fancy alarm or alert system that is constantly going off']","The recording features a repetitive, modulating sound similar to a siren or alarm with a notable distortion effect.",The audio could represent a science fiction scene with an alien warning signal.,"The recording is of a simple, unmodulated bell chime in a serene environment.",
,ClothoV2,broken comms2.wav,"['A radio cycling through stations as it is being repaired.', 'A radio that is trying to be tuned and fixed.', 'A series of bleeps and bloops fire off randomly.', 'The computer is beeping as a voice recording drags .', 'Various computer noises go off as a voice call breaks up']",Electronic equipment is producing intermittent sounds.,A technician is troubleshooting a malfunctioning radio or computer.,"A smooth, uninterrupted melody is playing from an audio device.",
,ClothoV2,wind3.wav,"['Air is being forced through a small opening and almost making whistling noises.', 'The wind howled violently and shrilly then began to taper off.', 'The wind is blowing through the corn field very loudly.', 'The wind is heard whistling outside from inside.', 'Wind howls violently and shrilly then begins to taper off.']",The sound of wind whistling can be heard.,The recording captures a stormy day in a corn field with strong wind gusts.,A quiet room with no discernible wind or movement is present.,
,ClothoV2,Drinking Through Straw.wav,"['A cold, icy drink is stirred and then sipped through a straw until it is gone.', 'A person is pouring a drink and then taking a sip.', 'A stone object rubs and hits against another object', 'A straw is moving and audible as it whirls around the bottom of the drain.', 'Someone is stirring a drink with ice cubes in it and starts drinking with a straw until empty.']","A person is interacting with a drink, stirring it with a straw and then consuming it.",A bartender is preparing a chilled cocktail with ice and serving it.,A musician is playing percussion instruments in a concert hall.,
,ClothoV2,the swarm v31m3.wav,"['A built up sound comprised of whining, chirping and other sounds that slowly dies off.', 'A built up sound comprised of whirring, chirping and other sounds that slowly dies off.', 'A noisy vacuum cleaner is used in a confined space.', 'A vacuum cleaner with noisy bearings being used in a confined space.', 'Cranking noises turn to a low screeching that rises in volume until it is extremely loud.']",A vacuum cleaner is operating in a space with a buildup of mechanical and high-pitched noises.,A mechanical device is malfunctioning and emitting varying high-pitched sounds in a small room.,A quiet office environment with occasional typing sounds.,
,ClothoV2,Giant 1.wav,"['A person gurgling, while trying to ape speech patterns, with some soft, occasional metal clanking in the background.', 'A person gurgling, while trying to mimic speech patterns, with some soft, intermittent metal clanging in the background.', 'A person is making weird noises with his or her mouth.', 'A person is speaking and is hard to understand.', 'A person who has a hole in their neck is talking and they are hard to understand.']","A person is vocalizing with an unusual quality that makes the speech difficult to understand, accompanied by periodic quiet metallic sounds.","A person is performing a speech exercise or therapy, with occasional interruptions from a nearby activity involving metal objects.",A clear and articulate speech is being delivered in a quiet room.,
,ClothoV2,dull metal.wav,"['A person is making noise by tapping their fingernails on a solid surface.', 'Metal prongs rapping insistently against the concrete ground.', 'Tapping two metal sticks together a few times a second.', 'Two metal objects tapping into each other a number of times.', 'Water is dripping from the faucet into the sink.']","Metallic tapping sounds are present, possibly involving a hard surface interaction.",A person is drumming with metal implements against a surface rhythmically.,The predominant sound is of a continuous flowing water stream.,
,ClothoV2,Small Chain Clanging.wav,"['A person crunches through dried leaves on the ground.', 'Aluminum candy papers are balled up in a hand.', 'Somebody balling up aluminum candy papers in their hand.', 'The chain of a necklace rattles inside a plastic cup.', 'a person is stepping on the ground full of dried leaves']",There is a sound of crinkling material consistent with someone manipulating items that could be either leaves or thin metal.,"A person is walking outside, stepping on dried leaves and handling small metallic objects.",A group of people are clapping hands in an auditorium.,
,ClothoV2,Hitting Tall Grass.wav,"['A person slowly clears high growth vegetation outdoors', 'It takes more force to weed and trim as time goes on.', 'Rocks are being thrown down on the ground.', 'Sand is being shoveled and dumped on the ground.', 'The sand that is being shoveled is being dumped on the nearby ground.']",Outdoor activities including vegetation clearing and ground material manipulation are taking place.,"Someone is landscaping, possibly constructing a garden path with rocks and sand.",Indoor cleaning activities are occurring.,
